종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"006120","SK디스커버리","74","1711","1637","3459600","81514950","78055350"
"085910","네오티스","3211","8785","5574","45886690","123286340","77399650"
"033500","동성화인텍","3708","8679","4971","57527840","132289890","74762050"
"037710","광주신세계","4","2114","2110","136500","73978350","73841850"
"024800","유성티엔에스","0","18696","18696","0","73236260","73236260"
"035760","CJ ENM","0","2356","2356","0","72994150","72994150"
"0126Z0","삼성에피스홀딩스","153","350","197","54215000","127085500","72870500"
"006040","동원산업","26","2120","2094","898350","73171325","72272975"
"072710","농심홀딩스","3","806","803","263100","71805200","71542100"
"368770","파이버프로","271","7142","6871","2775040","72769100","69994060"
"212710","아이에스티이","17574","25530","7956","102893105","169988580","67095475"
"452430","사피엔반도체","547","2959","2412","14605550","80127950","65522400"
"006660","삼성공조","0","6553","6553","0","65309030","65309030"
"000080","하이트진로","75","4313","4238","1143490","65953355","64809865"
"011210","현대위아","114","1305","1191","6016600","70211300","64194700"
"067160","SOOP","300","1624","1324","14726300","78745550","64019250"
"013120","동원개발","1337","32406","31069","2631266","65298090","62666824"
"002900","TYM","512","10037","9525","2850285","64178740","61328455"
"007310","오뚜기","3","190","187","951500","61022500","60071000"
"033790","피노","0","11261","11261","0","60002780","60002780"
"0165X0","메리츠제2호스팩","0","30738","30738","0","59827071","59827071"
"035890","서희건설","0","30792","30792","0","59456200","59456200"
"253450","스튜디오드래곤","0","2677","2677","0","58009600","58009600"
"008350","남선알미늄","3","60000","59997","3030","57531432","57528402"
"001120","LX인터내셔널","91","1662","1571","3220550","60450200","57229650"
"170030","현대공업","0","11798","11798","0","53332105","53332105"
"038010","제일테크노스","0","10198","10198","0","53241670","53241670"
"0008Z0","에스엔시스","118","2603","2485","2324000","54663000","52339000"
"011760","현대코퍼레이션","4","2269","2265","87450","52264450","52177000"
"194370","제이에스코퍼레이션","116","4291","4175","1447485","53099590","51652105"
"482630","삼양엔씨켐","7967","12153","4186","76439420","127824980","51385560"
"120030","조선선재","1","640","639","78900","51137000","51058100"
"217950","파마리서치바이오","206","1800","1594","6519550","55710000","49190450"
"108670","LX하우시스","3","1530","1527","94950","48842000","48747050"
"441270","파인엠텍","0","7463","7463","0","47155450","47155450"
"457190","이수스페셜티케미컬","110","953","843","5396450","51894850","46498400"
"460860","동국제강","2379","7165","4786","19774600","66072700","46298100"
"033240","자화전자","281","2375","2094","5493420","51421350","45927930"
"484810","티엑스알로보틱스","0","4012","4012","0","45335920","45335920"
"229500","노브메타파마","0","10000","10000","0","45140030","45140030"
"328130","루닛","1697","6470","4773","15528470","60622430","45093960"
"491000","리브스메드","1086","2483","1397","37052650","81972850","44920200"
"326030","SK바이오팜","1084","1664","580","84776200","129516450","44740250"
"036190","금화피에스시","93","1530","1437","2819975","47316250","44496275"
"399720","가온칩스","2165","3030","865","102305500","144630375","42324875"
"091700","파트론","0","7755","7755","0","42201470","42201470"
"051390","YW","0","10223","10223","0","39803460","39803460"
"0164H0","한국제16호스팩","10000","30000","20000","19484083","58498595","39014512"
"000120","CJ대한통운","74","598","524","5389000","43565000","38176000"
"467930","IBKS제23호스팩","0","18000","18000","0","38070000","38070000"
"005385","현대차우","0","214","214","0","38036800","38036800"
"001680","대상","21","2107","2086","369060","38345370","37976310"
"137400","피엔티","0","1204","1204","0","35746400","35746400"
"003720","삼영","10","6000","5990","56510","35610000","35553490"
"323350","다원넥스뷰","0","5000","5000","0","34639660","34639660"
"004690","삼천리","2","297","295","225300","34820500","34595200"
"018470","조일알미늄","3","35255","35252","2923","34413572","34410649"
"123570","이엠넷","0","20376","20376","0","34175412","34175412"
"078600","대주전자재료","2818","3067","249","187431550","221583950","34152400"
"397030","에이프릴바이오","280","1654","1374","5715280","39644950","33929670"
"001230","동국홀딩스","5","18751","18746","8377","33637362","33628985"
"112290","와이씨켐","0","4000","4000","0","33267440","33267440"
"025540","한국단자","44","606","562","2553800","35778000","33224200"
"003160","디아이","3806","5448","1642","77475250","110570520","33095270"
"009970","영원무역홀딩스","408","574","166","81626450","114543100","32916650"
"109610","에스와이","0","18688","18688","0","32647936","32647936"
"046940","우원개발","0","12047","12047","0","32647370","32647370"
"000157","두산2우B","0","114","114","0","32462500","32462500"
"079160","CJ CGV","31","6849","6818","147480","32493047","32345567"
"133750","메가엠디","0","24750","24750","0","32331669","32331669"
"114090","GKL","19","3430","3411","176360","32156350","31979990"
"085660","차바이오텍","0","3474","3474","0","31433465","31433465"
"225570","넥슨게임즈","0","3537","3537","0","31197610","31197610"
"445680","큐리옥스바이오시스템즈","962","1747","785","38951550","69922800","30971250"
"188040","바이오포트","0","7591","7591","0","30781505","30781505"
"010960","삼호개발","308","10400","10092","923325","31161500","30238175"
"141080","리가켐바이오","25013","24598","-415","2103566950","2133661400","30094450"
"143240","사람인","0","1832","1832","0","29519620","29519620"
"352480","씨앤씨인터내셔널","0","1677","1677","0","29321760","29321760"
"187790","나노","0","10000","10000","0","29200000","29200000"
"272290","이녹스첨단소재","1200","2444","1244","20730190","49909250","29179060"
"012750","에스원","57","459","402","4103400","33140500","29037100"
"189300","인텔리안테크","274","739","465","15126000","44048000","28922000"
"009240","한샘","15","771","756","567450","29058850","28491400"
"065350","신성델타테크","0","1161","1161","0","28045200","28045200"
"042420","네오위즈홀딩스","0","1240","1240","0","27871600","27871600"
"254490","미래반도체","6892","9425","2533","85776280","113328160","27551880"
"003380","하림지주","0","2875","2875","0","27500560","27500560"
"027410","BGF","29","6830","6801","109855","27512982","27403127"
"473000","에스케이증권제12호스팩","0","13333","13333","0","27332650","27332650"
"206640","바디텍메드","0","2368","2368","0","26568015","26568015"
"376300","디어유","647","1992","1345","12454310","38966040","26511730"
"026960","동서","84","1099","1015","2172100","28491500","26319400"
"251270","넷마블","60","768","708","2189250","28112850","25923600"
"036530","SNT홀딩스","67","602","535","3156625","28502650","25346025"
"048410","현대바이오","0","3921","3921","0","23878400","23878400"
"279600","미디어젠","0","6000","6000","0","23400000","23400000"
"003030","세아제강지주","271","486","215","26729300","50044300","23315000"
"006730","서부T&D","937","3412","2475","9267270","32535780","23268510"
"354320","알멕","0","935","935","0","22381150","22381150"
"028670","팬오션","628","4937","4309","3158059","25067360","21909301"
"476040","오가노이드사이언스","0","3167","3167","0","21697820","21697820"
"228760","지노믹트리","0","2000","2000","0","21525050","21525050"
"215200","메가스터디교육","77","588","511","3148425","24460650","21312225"
"024090","디씨엠","3","1955","1952","32720","21074400","21041680"
"482690","대신밸런스제19호스팩","0","10000","10000","0","20500000","20500000"
"121600","나노신소재","0","487","487","0","20417800","20417800"
"0134X0","대신밸런스제20호스팩","10000","20000","10000","19747970","39577214","19829244"
"002810","삼영무역","666","1499","833","15478250","34871250","19393000"
"061090","세나테크놀로지","2008","2551","543","70071300","89270250","19198950"
"222080","SFA넥셀","0","2727","2727","0","18670440","18670440"
"012630","HDC","92","1027","935","1825690","20345840","18520150"
"100790","미래에셋벤처투자","102","1809","1707","1223060","19195580","17972520"
"0015G0","그린광학","0","1300","1300","0","17694420","17694420"
"018880","한온시스템","1716","6983","5267","5696070","23243170","17547100"
"214260","라파스","0","2000","2000","0","17200000","17200000"
"109860","동일금속","0","2358","2358","0","17114770","17114770"
"0096B0","삼성스팩12호","10000","18580","8580","19774628","36714080","16939452"
"474610","RF시스템즈","6442","8459","2017","31669100","48269120","16600020"
"484590","삼양컴텍","0","2893","2893","0","16514970","16514970"
"059090","미코","0","1186","1186","0","16093820","16093820"
"0131D0","키움히어로제2호스팩","10000","18000","8000","19648109","35432825","15784716"
"293490","카카오게임즈","0","1914","1914","0","15194670","15194670"
"001750","한양증권","139","952","813","2578540","17715710","15137170"
"488060","유진스팩11호","0","6851","6851","0","13891785","13891785"
"053800","안랩","0","260","260","0","13819000","13819000"
"330860","네패스아크","4190","4582","392","82492785","96192050","13699265"
"493280","아이엠바이오로직스","331","1110","779","5737180","17666250","11929070"
"394420","리센스메디컬","217","1577","1360","2365650","14099710","11734060"
"060250","NHN KCP","0","924","924","0","11725330","11725330"
"340570","티앤엘","0","198","198","0","11623200","11623200"
"004020","현대제철","7496","7724","228","182498800","193816250","11317450"
"448710","코츠테크놀로지","0","1071","1071","0","11273120","11273120"
"112040","위메이드","0","708","708","0","11109680","11109680"
"241770","메카로","210","590","380","6676200","17611500","10935300"
"005670","푸드웰","0","1764","1764","0","10883880","10883880"
"019180","티에이치엔","0","2084","2084","0","10836800","10836800"
"005300","롯데칠성","254","356","102","25409700","35978500","10568800"
"088260","이리츠코크렙","16","3504","3488","48160","10596135","10547975"
"464080","에스오에스랩","0","1394","1394","0","10523670","10523670"
"253590","네오셈","0","1112","1112","0","10414375","10414375"
"479880","한국제15호스팩","10000","15000","5000","20426632","30750000","10323368"
"088910","동우팜투테이블","0","4880","4880","0","10167800","10167800"
"0098T0","교보19호스팩","0","5018","5018","0","9990838","9990838"
"099320","쎄트렉아이","0","141","141","0","9694800","9694800"
"481070","에이유브랜즈","5497","5707","210","89271630","98889710","9618080"
"236200","슈프리마","251","455","204","11415700","20842850","9427150"
"014570","고려제약","0","2768","2768","0","9197900","9197900"
"003240","태광산업","2","13","11","1645000","10768000","9123000"
"083450","GST","365","620","255","14060150","22899400","8839250"
"082270","젬백스","0","894","894","0","8835780","8835780"
"100120","뷰웍스","0","400","400","0","8623050","8623050"
"003090","대웅","29","549","520","471840","8941610","8469770"
"192650","드림텍","428","2409","1981","1701415","9927400","8225985"
"010955","S-Oil우","0","124","124","0","8056700","8056700"
"200470","에이팩트","698","2747","2049","2823410","10836915","8013505"
"001800","오리온홀딩스","243","553","310","6154750","14088700","7933950"
"034230","파라다이스","323","1104","781","3140220","10945940","7805720"
"214430","아이쓰리시스템","0","130","130","0","7529000","7529000"
"008730","율촌화학","16","617","601","202740","7593770","7391030"
"073490","LIG아큐버","0","263","263","0","7357900","7357900"
"000240","한국앤컴퍼니","235","529","294","5768900","13082200","7313300"
"003000","부광약품","28","1945","1917","104310","7185560","7081250"
"071320","지역난방공사","5","116","111","309600","7243100","6933500"
"001810","무림SP","0","6117","6117","0","6924493","6924493"
"477340","에이치엠씨제7호스팩","0","3334","3334","0","6785945","6785945"
"005820","원림","0","520","520","0","6778650","6778650"
"049830","승일","0","1090","1090","0","6741170","6741170"
"049720","고려신용정보","0","712","712","0","6741060","6741060"
"001560","제일연마","0","808","808","0","6732310","6732310"
"007590","동방아그로","0","1236","1236","0","6720870","6720870"
"023450","동남합성","1","239","238","28150","6738850","6710700"
"083930","아바코","0","699","699","0","6697380","6697380"
"040420","정상제이엘에스","0","1171","1171","0","6691520","6691520"
"016580","환인제약","4","690","686","39280","6721860","6682580"
"048470","대동스틸","0","2816","2816","0","6664455","6664455"
"004780","대륙제관","0","1620","1620","0","6659625","6659625"
"033830","티비씨","0","4299","4299","0","6634568","6634568"
"034950","한국기업평가","0","66","66","0","6617500","6617500"
"015890","태경산업","7","1472","1465","31345","6640250","6608905"
"026940","부국철강","0","3734","3734","0","6602451","6602451"
"037230","한국팩키지","0","5122","5122","0","6601270","6601270"
"003120","일성아이에스","4","324","320","82200","6652800","6570600"
"001540","안국약품","0","654","654","0","6527715","6527715"
"025770","한국정보통신","0","890","890","0","6488020","6488020"
"030190","NICE평가정보","50","505","455","719440","7129590","6410150"
"0132G0","교보20호스팩","1848","5000","3152","3671549","9945000","6273451"
"475250","하나33호스팩","0","3000","3000","0","6120000","6120000"
"003780","진양산업","161","1722","1561","636195","6569455","5933260"
"001790","대한제당","2991","5270","2279","7633092","13547920","5914828"
"042000","카페24","993","1203","210","15836090","21731440","5895350"
"137310","에스디바이오센서","45","1009","964","272020","6143125","5871105"
"016610","DB증권","304","1063","759","2378460","8201920","5823460"
"000220","유유제약","220","1904","1684","773995","6538000","5764005"
"094360","칩스앤미디어","0","600","600","0","5731700","5731700"
"394280","오픈엣지테크놀로지","0","600","600","0","5580000","5580000"
"001500","현대차증권","362","1184","822","2483805","8006540","5522735"
"012790","신일제약","0","1050","1050","0","5386500","5386500"
"474650","링크솔루션","110","350","240","1809460","7045050","5235590"
"473950","에스케이증권제13호스팩","0","2500","2500","0","5075000","5075000"
"083310","엘오티베큠","0","700","700","0","5071660","5071660"
"439960","코스모로보틱스","3416","3748","332","55553640","60599200","5045560"
"068760","셀트리온제약","0","115","115","0","4675350","4675350"
"005420","코스모화학","137","703","566","1159710","5782290","4622580"
"058970","엠로","0","310","310","0","4618770","4618770"
"014820","동원시스템즈","17","253","236","330140","4927720","4597580"
"006220","제주은행","9","532","523","77620","4611130","4533510"
"039130","하나투어","4","154","150","116800","4621500","4504700"
"361610","SK아이이테크놀로지","2277","2769","492","30916810","35400540","4483730"
"078350","한양디지텍","1046","1387","341","15604730","19980160","4375430"
"054450","텔레칩스","0","500","500","0","4209590","4209590"
"0088M0","메쥬","1669","1989","320","19531430","23617170","4085740"
"003800","에이스침대","83","211","128","2672300","6683275","4010975"
"035510","신세계 I&C","5","350","345","57420","4032490","3975070"
